#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Ainotes


#Text=Ipak, nastavio je da radi na esperantu sve dok nije umro od srčanog udara 1921. godine.
632-3	11929-11935	regija	N	NOUN	http://www.wikidata.org/entity/Q205203[255]	ORG[255]	regija	_	_	_	ENG30-08497294-n	1	ENG30-08497294-n	U ovom kontekstu, 'regija' se odnosi na geografska područja unutar EU koja imaju specifične karakteristike i ulogu u lokalnoj i regionalnoj politici, što odgovara ponuđenom značenju.	
632-4	11936-11937	(	PUNCT	PUNCT	_	_	(	_	_	_	_	_	_	_	
632-5	11937-11940	CoR	ABB	X	http://www.wikidata.org/entity/Q205203	ORG	CoR	_	_	_	_	_	_	_	
632-6	11940-11941	)	PUNCT	PUNCT	_	_	)	_	_	_	_	_	_	_	
632-7	11942-11950	sprovodi	V	VERB	_	_	sprovoditi	_	_	_	ENG30-02079933-v	2	ENG30-02079933-v;ENG30-02560164-v	U ovom kontekstu, 'sprovoditi' znači realizovati ili izvoditi studije, što nije pokriveno ponuđenim značenjima (prenositi ili obezbediti poštovanje zakona).	
632-8	11951-11958	studije	N	NOUN	_	_	studija	_	_	_	ENG30-07218470-n	4	ENG30-00644503-n;ENG30-05734288-n;ENG30-05755883-n;ENG30-07218470-n	U ovom kontekstu, 'studije' se odnose na pismene dokumente koji sadrže analize i nalaze o različitim temama, što odgovara značenju pismenog dokumenta koji opisuje otkrića grupe ili pojedinca.	
632-9	11959-11960	o	PREP	ADP	_	_	o	_	_	_	_	_	_	_	
632-10	11961-11971	različitim	A	ADJ	_	_	različit	_	_	_	ENG30-02067719-a	7	ENG30-00494409-a;ENG30-02064745-a;ENG30-02065665-a;ENG30-02067719-a;ENG30-02070342-a;ENG30-02110778-a;ENG30-02507772-a	U ovom kontekstu, 'različitim' se odnosi na mnogobrojne i međusobno različite vidove lokalne i regionalne dimenzije EU, što najpreciznije odgovara ovom značenju.	
632-11	11972-11980	vidovima	N	NOUN	_	_	vid	_	_	_	ENG30-05850624-n	5	ENG30-00881649-n;ENG30-05654362-n;ENG30-05656537-n;ENG30-05850624-n;ENG30-13804669-n	U ovom kontekstu, 'vidovi' se odnosi na različite karakteristike ili aspekte lokalne i regionalne dimenzije EU, što odgovara značenju 'određena karakteristika ili element u problemu'.	
632-12	11981-11988	lokalne	A	ADJ	_	_	lokalan	_	_	_	ENG30-01106405-a	1	ENG30-01106405-a	U ovom kontekstu, 'lokalne' dimenzije EU odnose se na pitanja koja su relevantna za administraciju grada, opštine ili okruga, što odgovara ponuđenom značenju.	
632-13	11989-11990	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	
632-14	11991-12001	regionalne	A	ADJ	_	_	regionalan	_	_	_	ENG30-02408977-a	1	ENG30-02408977-a	U ovom kontekstu, 'regionalne' se odnosi na dimenzije EU koje su vezane za određene oblasti ili regione, što odgovara značenju 'koji je vezan ili ograničen na određenu oblast'.	
632-15	12002-12011	dimenzije	N	NOUN	_	_	dimenzija	_	_	_	ENG30-05849040-n	4	ENG30-05091194-n;ENG30-05093581-n;ENG30-05849040-n;ENG30-06011446-n	U ovom kontekstu, 'dimenzija' se odnosi na različite aspekte ili konstruke (npr. obrazovanje, transport) po kojima se može analizirati lokalna i regionalna politika EU.	
632-16	12012-12014	EU	ABB	X	http://www.wikidata.org/entity/Q458	ORG	EU	_	_	_	_	_	_	_	
632-17	12015-12016	(	PUNCT	PUNCT	_	_	(	_	_	_	_	_	_	_	
632-18	12016-12027	obrazovanje	N	NOUN	_	_	obrazovanje	_	_	_	ENG30-00883297-n	8	ENG30-00611433-n;ENG30-00883297-n;ENG30-01129363-n;ENG30-01129532-n;ENG30-05660937-n;ENG30-05753564-n;ENG30-05757536-n;ENG30-05984287-n	U ovom kontekstu, 'obrazovanje' se odnosi na oblast ili vid društvene aktivnosti koja obuhvata radnje pružanja znanja, što je najšire i najprikladnije značenje u nabrajanju oblasti delovanja EU.	
632-19	12027-12028	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	
632-20	12029-12038	transport	N	NOUN	_	_	transport	_	_	_	ENG30-13570236-n	1	ENG30-13570236-n	U ovom kontekstu, 'transport' se odnosi na prevoz ljudi i robe, odnosno saobraćaj, a ne na razmenu molekula u fluidima ili ćelijama, tako da ponuđeno značenje nije primenjivo.	
632-21	12038-12039	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	
632-22	12040-12049	socijalna	A	ADJ	_	_	socijalan	_	_	_	ENG30-02798370-a	1	ENG30-02798370-a	U ovom kontekstu, 'socijalna pitanja' se odnose na teme povezane sa ljudskim društvom i njegovim članovima, kao što su socijalna zaštita, prava i dobrobit građana, što odgovara ponuđenom značenju.	
632-23	12050-12057	pitanja	N	NOUN	_	_	pitanje	_	_	_	ENG30-06783768-n	4	ENG30-05814650-n;ENG30-06783768-n;ENG30-07193596-n;ENG30-07196682-n	U ovom kontekstu, 'pitanja' se odnosi na teme ili oblasti razmatranja (npr. obrazovanje, transport, socijalna pitanja), što odgovara značenju 'predmet razmatranja o kome je reč'.	
632-24	12057-12058	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	
632-25	12059-12069	proširenje	N	NOUN	_	_	proširenje	_	_	_	ENG30-03281935-n	3	ENG30-03281935-n;ENG30-07172756-n;ENG30-13574804-n	U kontekstu EU, 'proširenje' se odnosi na proces dodavanja novih članica, što je najbliže značenju 'dodatak dužini nečega', odnosno proširenje organizacije na više teritorija.	
632-26	12070-12074	itd.	ABB	X	_	_	itd.	_	_	_	_	_	_	_	
632-27	12074-12075	)	PUNCT	PUNCT	_	_	)	_	_	_	_	_	_	_	
632-28	12075-12076	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=Mozel je reka koja protiče kroz Francusku, Luksemburg i Nemačku.
633-1	12076-12081	Mozel	N	PROPN	http://www.wikidata.org/entity/Q1667	LOC	Mozel	_	_	_	_	_	_	_	
633-2	12082-12084	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
633-3	12085-12089	reka	N	NOUN	_	_	reka	_	_	_	ENG30-09411430-n	1	ENG30-09411430-n	U ovom kontekstu, 'reka' se odnosi na veliki prirodni tok vode, što precizno odgovara ponuđenom značenju.	
633-4	12090-12094	koja	PRO	DET	_	_	koji	_	_	_	_	_	_	_	
633-5	12095-12102	protiče	V	VERB	_	_	proticati	_	_	_	ENG30-00217427-v	1	ENG30-00217427-v	U ovom kontekstu, 'proticati' znači 'teći' ili 'strujati' kroz određeno područje, a ne 'pokriti ili poplaviti vodom', tako da nijedno ponuđeno značenje nije odgovarajuće.	
633-6	12103-12107	kroz	PREP	ADP	_	_	kroz	_	_	_	_	_	_	_	
633-7	12108-12117	Francusku	N	PROPN	http://www.wikidata.org/entity/Q142	LOC	Francuska	_	_	_	_	_	_	_	
633-8	12117-12118	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	
633-9	12119-12129	Luksemburg	N	PROPN	http://www.wikidata.org/entity/Q32	LOC	Luksemburg	_	_	_	_	_	_	_	
633-10	12130-12131	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	
633-11	12132-12139	Nemačku	N	PROPN	http://www.wikidata.org/entity/Q183	LOC	Nemačka	_	_	_	_	_	_	_	
633-12	12139-12140	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=SnatchBot pomaže korisnicima da naprave botove za Fejsbukov Mesindžer, Skajp, Slek, SMS, Tviter i druge platforme društvenih mreža.
634-1	12140-12149	SnatchBot	F	X	http://www.wikidata.org/entity/Q47458384	PRODUCT	SnatchBot	_	_	_	_	_	_	_	
634-2	12150-12156	pomaže	V	VERB	_	_	pomagati	_	_	_	ENG30-02555434-v	3	ENG30-02414710-v;ENG30-02554422-v;ENG30-02555434-v	U ovom kontekstu, 'pomaže' znači da SnatchBot doprinosi unapređenju procesa pravljenja botova, olakšavajući korisnicima da ih kreiraju za različite platforme.	
634-3	12157-12168	korisnicima	N	NOUN	_	_	korisnik	_	_	_	ENG30-10741590-n	2	ENG30-10036266-n;ENG30-10741590-n	U ovom kontekstu, 'korisnici' su osobe koje koriste SnatchBot platformu za pravljenje botova, što odgovara značenju osobe koja koristi neku stvar.	
634-4	12169-12171	da	CONJ	SCONJ	_	_	da	_	_	_	_	_	_	_	
634-5	12172-12179	naprave	V	VERB	_	_	napraviti	_	_	_	ENG30-01619014-v	15	ENG30-00107369-v;ENG30-00120316-v;ENG30-00545953-v;ENG30-00562067-v;ENG30-00698104-v;ENG30-00698256-v;ENG30-00730758-v;ENG30-00955472-v;ENG30-01619014-v;ENG30-01621555-v;ENG30-01654628-v;ENG30-01655505-v;ENG30-01755504-v;ENG30-02448185-v;ENG30-02560585-v	U ovom kontekstu, 'napraviti' znači dizajnirati ili kreirati botove za različite platforme, što odgovara značenju 'praviti ili dizajnirati, često na određeni način'.	
634-6	12180-12186	botove	N	NOUN	_	_	bot	_	_	_	DRJ0-228799/0	1	DRJ0-228799/0	U ovom kontekstu, 'bot' označava softverski program koji automatski komunicira sa korisnicima na različitim platformama, što se razlikuje od ponuđenog značenja koje se odnosi na osobu koja piše komentare na internetu.	
634-7	12187-12189	za	PREP	ADP	_	_	za	_	_	_	_	_	_	_	
634-8	12190-12199	Fejsbukov	A	ADJ	http://www.wikidata.org/entity/Q116947[256]	PRODUCT[256]	Fejsbukov	_	_	_	CVDf-336/0	1	CVDf-336/0	U ovom kontekstu, 'Fejsbukov' je prisvojni pridev koji označava da se Mesindžer odnosi na kompaniju Fejsbuk, odnosno da je u njenom vlasništvu ili pod njenom kontrolom.	
634-9	12200-12209	Mesindžer	N	PROPN	http://www.wikidata.org/entity/Q116947[256]	PRODUCT[256]	Mesindžer	_	_	_	_	_	_	_	
634-10	12209-12210	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	
634-11	12211-12216	Skajp	N	PROPN	http://www.wikidata.org/entity/Q40984	PRODUCT	Skajp	_	_	_	_	_	_	_	
634-12	12216-12217	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	
634-13	12218-12222	Slek	N	PROPN	http://www.wikidata.org/entity/Q17130715	PRODUCT	Slek	_	_	_	_	_	_	_	
634-14	12222-12223	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	
634-15	12224-12227	SMS	ABB	X	http://www.wikidata.org/entity/Q43024	PRODUCT	SMS	_	_	_	_	_	_	_	
634-16	12227-12228	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	
634-17	12229-12235	Tviter	N	PROPN	http://www.wikidata.org/entity/Q918	PRODUCT	Tviter	_	_	_	_	_	_	_	
634-18	12236-12237	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	
634-19	12238-12243	druge	A	ADJ	_	_	drugi	_	_	_	ENG30-00048858-a	4	ENG30-00048858-a;ENG30-02070030-a;ENG30-02070188-a;ENG30-02202146-a	U ovom kontekstu, 'druge' platforme označava dodatne ili dalje platforme osim već navedenih, što odgovara značenju 'dalje ili dodato'.	
634-20	12244-12253	platforme	N	NOUN	_	_	platforma	_	_	_	ENG30-03962685-n	3	ENG30-03961939-n;ENG30-03962685-n;ENG30-04296562-n	U ovom kontekstu, 'platforma' se odnosi na digitalne servise ili softverske okruženja (kao što su Fejsbuk Mesindžer, Skajp, Slek), što je najbliže značenju kombinacije računara i operativnog sistema, odnosno digitalnog okruženja.	
634-21	12254-12264	društvenih	A	ADJ	_	_	društven	1[1064]	društvena mreža[1064]	NID[1064]	LLM-0039[2089]	1[2089]	LLM-0039[2089]	U ovom kontekstu, 'društvena mreža' se odnosi na digitalne platforme poput Fejsbuka i Tvitera koje omogućavaju korisnicima međusobnu komunikaciju i interakciju, što odgovara ponuđenom značenju.[2089]	
634-22	12265-12270	mreža	N	NOUN	_	_	mreža	1[1064]	društvena mreža[1064]	NID[1064]	LLM-0039[2089]	1[2089]	LLM-0039[2089]	U ovom kontekstu, 'društvena mreža' se odnosi na digitalne platforme poput Fejsbuka i Tvitera koje omogućavaju korisnicima međusobnu komunikaciju i interakciju, što odgovara ponuđenom značenju.[2089]	
634-23	12270-12271	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=Genik je njihove sholastičke dokumente preveo s poljskog na engleski jezik.
635-1	12271-12276	Genik	N	PROPN	http://www.wikidata.org/entity/Q550785	PERS	Genik	_	_	_	_	_	_	_	
635-2	12277-12279	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
635-3	12280-12287	njihove	PRO	DET	_	_	njihov	_	_	_	_	_	_	_	
635-4	12288-12299	sholastičke	A	ADJ	_	_	sholastički	_	_	_	ENG30-02793094-a	1	ENG30-02793094-a	U ovom kontekstu, 'sholastičke' se odnosi na dokumente povezane sa filozofskom doktrinom sholastike, što je najpreciznije značenje iz ponuđene liste.	
635-5	12300-12309	dokumente	N	NOUN	_	_	dokument	_	_	_	ENG30-03217458-n	3	ENG30-03217458-n;ENG30-06470073-n;ENG30-06510977-n	U ovom kontekstu, 'dokument' se odnosi na tekstove koji predstavljaju mišljenja ili učenja, a ne nužno na službene spise ili računalne datoteke, što najpreciznije odgovara ovom značenju.	
635-6	12310-12316	preveo	V	VERB	_	_	prevesti	_	_	_	ENG30-00959827-v	2	ENG30-00959827-v;ENG30-01953810-v	U ovom kontekstu, 'preveo' znači preneti tekst sa jednog jezika (poljskog) na drugi (engleski), što odgovara značenju prevođenja reči između jezika.	
635-7	12317-12318	s	PREP	ADP	_	_	s	_	_	_	_	_	_	_	
635-8	12319-12327	poljskog	A	ADJ	*	DEMO	poljski	_	_	_	ENG30-02961258-a	1	ENG30-02961258-a	U ovom kontekstu, 'poljski' se odnosi na jezik koji potiče iz Poljske, što je deo njene kulture, pa je ovo značenje najpreciznije primenjeno.	
635-9	12328-12330	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	
635-10	12331-12339	engleski	A	ADJ	*	DEMO	engleski	1[1065]	engleski jezik[1065]	NID[1065]	LLM-0046[2090]	1[2090]	LLM-0046[2090]	U ovom kontekstu, 'engleski jezik' označava germanski jezik koji je nastao u Engleskoj i danas se koristi globalno, što je u skladu sa ponuđenim značenjem.[2090]	
635-11	12340-12345	jezik	N	NOUN	_	_	jezik	1[1065]	engleski jezik[1065]	NID[1065]	LLM-0046[2090]	1[2090]	LLM-0046[2090]	U ovom kontekstu, 'engleski jezik' označava germanski jezik koji je nastao u Engleskoj i danas se koristi globalno, što je u skladu sa ponuđenim značenjem.[2090]	
635-12	12345-12346	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=Bog nagrađuje dobro ponašanje, a kažnjava loše.
636-1	12346-12349	Bog	N	NOUN	http://www.wikidata.org/entity/Q190	PERS	bog	_	_	_	ENG30-09536058-n	1	ENG30-09536058-n	U ovom kontekstu, 'Bog' se odnosi na natprirodno biće koje nagrađuje i kažnjava, što odgovara definiciji svemogućeg stvoritelja i vladara sveta iz monoteističkih religija.	
636-2	12350-12359	nagrađuje	V	VERB	_	_	nagrađivati	_	_	_	DRJ0-204103/0	2	DRJ0-204103/0;DRJ0-204104/0	U ovom kontekstu, 'nagrađuje' znači da Bog daje nagradu za dobro ponašanje, što odgovara osnovnom značenju prema 'nagraditi'.	
636-3	12360-12365	dobro	A	ADJ	_	_	dobar	_	_	_	ENG30-01129977-a	7	ENG30-00106020-a;ENG30-00775611-a;ENG30-01123148-a;ENG30-01129977-a;ENG30-01983162-a;ENG30-02036934-a;ENG30-02226162-a	U ovom kontekstu, 'dobro' ponašanje se odnosi na moralno ispravno ili primereno ponašanje, što odgovara značenju 'moralno primeran'.	
636-4	12366-12375	ponašanje	N	NOUN	_	_	ponašanje	_	_	_	ENG30-01220984-n	4	ENG30-01220984-n;ENG30-01221254-n;ENG30-04897762-n;ENG30-14008342-n	U ovom kontekstu, 'ponašanje' se odnosi na način na koji se neko ponaša ili drži, što je predmet nagrađivanja ili kažnjavanja od strane Boga.	
636-5	12375-12376	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	
636-6	12377-12378	a	CONJ	CCONJ	_	_	a	_	_	_	_	_	_	_	
636-7	12379-12387	kažnjava	V	VERB	_	_	kažnjavati	_	_	_	DRJ0-193698/0	1	DRJ0-193698/0	U ovom kontekstu, 'kažnjava' znači da Bog daje kaznu za loše ponašanje, što odgovara značenju 'nesvr. prema kazniti'.	
636-8	12388-12392	loše	A	ADJ	_	_	loš	_	_	_	ENG30-01131043-a	4	ENG30-01125429-a;ENG30-01131043-a;ENG30-01587787-a;ENG30-02345713-a	U ovom kontekstu, 'loše' ponašanje se odnosi na moralno pogrešno ili neispravno ponašanje, što odgovara značenju 'koji je moralno loš ili pogrešan'.	
636-9	12392-12393	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=Godine 1977. Španija ima svoje prve demokratske izbore, posle 41 godine pod Frankovim režimom.
637-1	12393-12399	Godine	N	NOUN	_	_	godina	_	_	_	ENG30-15202634-n	5	ENG30-08238660-n;ENG30-15201505-n;ENG30-15202634-n;ENG30-15203791-n;ENG30-15204297-n	U ovom kontekstu, 'godine' se odnosi na kalendarsku godinu po Gregorijanskom kalendaru, jer se navodi konkretna godina (1977) u istorijskom događaju.	
637-2	12400-12405	1977.	A	ADJ	_	_	1977.	_	_	_	_	_	_	_	
637-3	12406-12413	Španija	N	PROPN	http://www.wikidata.org/entity/Q29	LOC	Španija	_	_	_	_	_	_	_	
637-4	12414-12417	ima	V	VERB	_	_	imati	_	_	_	ENG30-02203362-v	10	ENG30-00065370-v;ENG30-00121046-v;ENG30-01426397-v;ENG30-02047097-v;ENG30-02203362-v;ENG30-02204692-v;ENG30-02205098-v;ENG30-02629535-v;ENG30-02704349-v;ENG30-02740745-v	U ovom kontekstu, 'imati' znači da Španija po prvi put poseduje ili doživljava demokratske izbore, što odgovara značenju 'imati ili posedovati, u direktnom ili apstraktnom značenju'.	
637-5	12418-12423	svoje	PRO	DET	_	_	svoj	_	_	_	_	_	_	_	
637-6	12424-12428	prve	A	ADJ	_	_	prvi	_	_	_	ENG30-01012855-a	6	ENG30-00228294-a;ENG30-01009206-a;ENG30-01009343-a;ENG30-01010862-a;ENG30-01012855-a;ENG30-01467919-a	U ovom kontekstu, 'prve' označava izbore koji su se desili pre svih ostalih u vremenu, odnosno prve demokratske izbore u istoriji Španije nakon Frankovog režima.	
637-7	12429-12440	demokratske	A	ADJ	_	_	demokratski	1[1066]	demokratski izbori[1066]	NID[1066]	CVMWE-0048[2091]	1[2091]	CVMWE-0048[2091]	U kontekstu se govori o prvim izborima u Španiji nakon diktature, što implicira da su to izbori u kojima građani slobodno biraju predstavnike, što odgovara datom značenju.[2091]	
637-8	12441-12447	izbore	N	NOUN	_	_	izbor	1[1066]	demokratski izbori[1066]	NID[1066]	CVMWE-0048[2091]	1[2091]	CVMWE-0048[2091]	U kontekstu se govori o prvim izborima u Španiji nakon diktature, što implicira da su to izbori u kojima građani slobodno biraju predstavnike, što odgovara datom značenju.[2091]	
637-9	12447-12448	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	
637-10	12449-12454	posle	PREP	ADP	_	_	posle	_	_	_	_	_	_	_	
637-11	12455-12457	41	NUM	NUM	_	_	41	_	_	_	_	_	_	_	
637-12	12458-12464	godine	N	NOUN	_	_	godina	_	_	_	ENG30-15203791-n	5	ENG30-08238660-n;ENG30-15201505-n;ENG30-15202634-n;ENG30-15203791-n;ENG30-15204297-n	U ovom kontekstu, 'godina' označava vremenski period od 365 (ili 366) dana, jer se govori o ukupnom trajanju Frankovog režima od 41 takvog perioda.	
637-13	12465-12468	pod	PREP	ADP	_	_	pod	_	_	_	_	_	_	_	
637-14	12469-12478	Frankovim	A	ADJ	_	_	Frankov	_	_	_	CVDf-337/0	1	CVDf-337/0	U ovom kontekstu, 'Frankov' je prisvojni pridev koji označava da se režim odnosi na diktatora Franciska Franka, pa je značenje 'prisvojni pridev od Frank' najpreciznije primenjeno.	
637-15	12479-12486	režimom	N	NOUN	_	_	režim	_	_	_	ENG30-05663671-n	3	ENG30-05663671-n;ENG30-08050678-n;ENG30-13923929-n	U ovom kontekstu, 'režim' se odnosi na sistem vlasti ili oblik upravljanja državom pod Frankom, što najpreciznije odgovara značenju sistema ili oblika upravljanja društvom.	
637-16	12486-12487	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=U decembru 2017. godine preko 30 miliona krajnjih korisnika komuniciralo je sa četbotovima napravljenim na platformi SnatchBot.
638-1	12487-12488	U	PREP	ADP	_	_	u	_	_	_	_	_	_	_	
638-2	12489-12497	decembru	N	NOUN	_	_	decembar	_	_	_	ENG30-15213774-n	1	ENG30-15213774-n	U ovom kontekstu, 'decembar' se odnosi na poslednji, dvanaesti mesec u godini, što je u skladu sa ponuđenim značenjem.	
638-3	12498-12503	2017.	A	ADJ	_	_	2017.	_	_	_	_	_	_	_	
638-4	12504-12510	godine	N	NOUN	_	_	godina	_	_	_	ENG30-15202634-n	5	ENG30-08238660-n;ENG30-15201505-n;ENG30-15202634-n;ENG30-15203791-n;ENG30-15204297-n	U ovom kontekstu, 'godine' se odnosi na kalendarsku godinu, odnosno period od 1. januara do 31. decembra po Gregorijanskom kalendaru, što je najpreciznije opisano ovim značenjem.	
638-5	12511-12516	preko	PREP	ADP	_	_	preko	_	_	_	_	_	_	_	
638-6	12517-12519	30	NUM	NUM	_	_	30	_	_	_	_	_	_	_	
638-7	12520-12527	miliona	N	NOUN	_	_	milion	_	_	_	ENG30-13751533-n	1	ENG30-13751533-n	U ovom kontekstu, 'miliona' se odnosi na broj korisnika, što odgovara značenju broja predstavljenog kao jedinica praćena sa 6 nula.	
638-8	12528-12536	krajnjih	A	ADJ	_	_	krajnji	1[1067]	krajnji korisnik[1067]	NID[1067]	LLM-0099[2092]	1[2092]	LLM-0099[2092]	U ovom kontekstu, 'krajnji korisnik' označava osobu koja direktno koristi četbotove, odnosno proizvod ili uslugu platforme SnatchBot, što se potpuno poklapa sa datim značenjem.[2092]	
638-9	12537-12546	korisnika	N	NOUN	_	_	korisnik	1[1067]	krajnji korisnik[1067]	NID[1067]	LLM-0099[2092]	1[2092]	LLM-0099[2092]	U ovom kontekstu, 'krajnji korisnik' označava osobu koja direktno koristi četbotove, odnosno proizvod ili uslugu platforme SnatchBot, što se potpuno poklapa sa datim značenjem.[2092]	
638-10	12547-12559	komuniciralo	V	VERB	_	_	komunicirati	_	_	_	ENG30-01070102-v	1	ENG30-01070102-v	U ovom kontekstu, 'komunicirati' znači da su korisnici razmenjivali informacije ili ideje sa četbotovima, što odgovara značenju 'biti u verbalnom kontaktu; razmenjivati informacije ili ideje'.	
638-11	12560-12562	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
638-12	12563-12565	sa	PREP	ADP	_	_	sa	_	_	_	_	_	_	_	
638-13	12566-12577	četbotovima	N	NOUN	_	_	četbot	_	_	_	CVDf-183/0	1	CVDf-183/0	U ovom kontekstu, 'četbot' se odnosi na softverski program koji komunicira sa korisnicima putem interneta, što odgovara definiciji računarskog programa dizajniranog da simulira razgovor sa ljudima.	
638-14	12578-12590	napravljenim	A	ADJ	_	_	napravljen	_	_	_	ENG30-02980658-a	1	ENG30-02980658-a	U ovom kontekstu, 'napravljen' znači 'kreiran' ili 'proizveden', dok ponuđeno značenje 'koji je uzročan' ne odgovara upotrebi u rečenici.	
638-15	12591-12593	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	
638-16	12594-12603	platformi	N	NOUN	_	_	platforma	_	_	_	ENG30-03962685-n	3	ENG30-03961939-n;ENG30-03962685-n;ENG30-04296562-n	U ovom kontekstu, 'platforma' se odnosi na softversku infrastrukturu (računarski sistem) na kojoj su izgrađeni četbotovi, što odgovara značenju kombinacije računara i operativnog sistema.	
638-17	12604-12613	SnatchBot	F	X	http://www.wikidata.org/entity/Q47458384	PRODUCT	SnatchBot	_	_	_	_	_	_	_	
638-18	12613-12614	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=Generalni sekretarijat sastoji se od pet direkcija: Članovi i plenarne sednice; Zakonodavni rad 1; Zakonodavni rad 2; Komunikacija; Ljudski resursi i Finansije.
639-1	12614-12623	Generalni	A	ADJ	_	_	generalan	_	_	_	ENG30-00487198-a	1	ENG30-00487198-a	U ovom kontekstu, 'generalni' označava nešto što je opšte, sveobuhvatno ili upravljačko (npr. 'generalni sekretarijat' kao glavno telo), a ne značenje 'preovlađuje među i zajednički za širu javnost'.	
639-2	12624-12636	sekretarijat	N	NOUN	_	_	sekretarijat	_	_	_	ENG30-08324274-n	1	ENG30-08324274-n	U ovom kontekstu, 'sekretarijat' označava administrativnu jedinicu koja upravlja različitim direkcijama i obavlja sekretarske i organizacione poslove, što odgovara ponuđenom značenju.	
639-3	12637-12644	sastoji	V	VERB	_	_	sastojati	1	sastojati se	IRV	CVMWE-0394[2093]	2[2093]	CVMWE-0394;ENG30-02632940-v[2093]	U ovom kontekstu, 'sastojati se' znači da je generalni sekretarijat sastavljen od pet direkcija, što precizno odgovara značenju 'biti sastavljen iz (od) nečega'.[2093]	
639-4	12645-12647	se	PAR	PART	_	_	se	1	*	IRV	CVMWE-0394[2093]	2[2093]	CVMWE-0394;ENG30-02632940-v[2093]	U ovom kontekstu, 'sastojati se' znači da je generalni sekretarijat sastavljen od pet direkcija, što precizno odgovara značenju 'biti sastavljen iz (od) nečega'.[2093]	
639-5	12648-12650	od	PREP	ADP	_	_	od	_	_	_	_	_	_	_	
639-6	12651-12654	pet	NUM	NUM	_	_	pet	_	_	_	_	_	_	_	
639-7	12655-12664	direkcija	N	NOUN	_	_	direkcija	_	_	_	ENG30-08380768-n	1	ENG30-08380768-n	U ovom kontekstu, 'direkcija' se odnosi na organizacione jedinice unutar sekretarijata koje upravljaju određenim poslovima, što odgovara značenju grupe osoba izabranih da upravljaju poslovima institucije.	
639-8	12664-12665	:	PUNCT	PUNCT	_	_	:	_	_	_	_	_	_	_	
639-9	12666-12673	Članovi	N	NOUN	_	_	član	_	_	_	ENG30-10307234-n	5	ENG30-06324669-n;ENG30-06392935-n;ENG30-08170686-n;ENG30-10307234-n;ENG30-13810615-n	U ovom kontekstu, 'Članovi' se odnosi na osobe koje su deo organizacije, što odgovara značenju osobe koja je član neke grupe ili organizacije.	
639-10	12674-12675	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	
639-11	12676-12684	plenarne	A	ADJ	_	_	plenaran	3[1068]	plenarna sednica[1068]	NID[1068]	CVMWE-0290[2094]	1[2094]	CVMWE-0290[2094]	U ovom kontekstu, 'plenarna sednica' se odnosi na sastanak ili sednicu na kojoj su prisutni svi članovi organizacije, što odgovara ponuđenom značenju.[2094]	
639-12	12685-12692	sednice	N	NOUN	_	_	sednica	3[1068]	plenarna sednica[1068]	NID[1068]	CVMWE-0290[2094]	1[2094]	CVMWE-0290[2094]	U ovom kontekstu, 'plenarna sednica' se odnosi na sastanak ili sednicu na kojoj su prisutni svi članovi organizacije, što odgovara ponuđenom značenju.[2094]	
639-13	12692-12693	;	PUNCT	PUNCT	_	_	\;	_	_	_	_	_	_	_	
